Watershed,River Mile,Site ID,Site Name,Sample Date,Entero. Count,Day of Rain (in.),Prior Day,2 Days Prior,3 Days Prior,Weather Station,Lab,Sample Type,Sample Order,Fluorescence,Comments ,Dilution ,QA Qualifier,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/27/18 9:54,3255,0,0.44,2.12,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,10/11/18 9:55,52,0,0,0,0,KNYTHEBR5,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/2/14 11:45,20,0.96,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/7/14 10:30,41,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,10/2/14 16:45,63,0,0.02,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,8/1/13 9:22,73,0.65,0,0,0.01,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/18/14 16:45,73,0,0,0.37,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/7/18 8:45,73,0,0,0.04,0.48,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/21/18 8:45,73,0,0,0.04,0.48,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/15/17 8:35,96,0,0.29,0,0,KNYC,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/12/14 12:00,109,0.07,0.02,0,1.6,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,6/19/14 13:30,120,0.15,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,5/24/18 10:01,132,0,0,0,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,10/5/17 8:00,135,0,0,0,0,KNYMOUNT30,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,7/13/17 8:30,156,0,0,0,0,KNYNEWYO111,CURB,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,5/23/13 9:51,171,1.81,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/12/13 8:50,171,1.6,0,0.01,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,2.1,BR-2.10,BR-SWS-14N / Starlight Park North dock,9/5/13 8:35,173,0,0,0.03,0.05,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
